clip_name,verdict,reason_tags,note,reviewed_at,run_reviewed,mapping_version_reviewed
anim_codelab_cow_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_cow_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_cow_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_cubetap,drop,,,2026-08-04T17:03:06,v1.3,1.3
anim_codelab_duck_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_elephant_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_frightenedcozmo_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_frog_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_getin_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_getout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_ghoulish_creeping_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_kitchen_eating_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_kitchen_yucky_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_lightshow_idle,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_magicfortuneteller_inquistive,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_rooster_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_rooster_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_scarycozmo_01,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_codelab_sheep_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_staring_loop,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_codelab_tiger_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_tiger_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_tiger_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_tinyorchestra_conducting,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_tinyorchestra_takataka_01,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_codelab_vampirebite_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_codelab_zombiecrawl_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_app_getin,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_app_getout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_app_getout_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_badword_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_badword_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_badword_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_badword_02_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_badword_02_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_badword_02_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_long_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_long_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_long_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_medium_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_medium_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_medium_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_medium_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_short_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_short_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getin_short_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_long_01_head_angle_-20,keep,,,2026-08-04T16:52:38,v1.3,1.3
anim_cozmosays_getout_long_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_long_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_medium_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_medium_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_medium_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_short_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_short_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_getout_short_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosays_speakloop_01,drop,,,2026-08-04T16:54:27,v1.3,1.3
anim_cozmosays_speakloop_02,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_cozmosays_speakloop_03,drop,,,2026-08-04T16:51:10,v1.3,1.3
anim_cozmosings_100_song_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosings_120_song_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosings_80_song_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosings_getin_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosings_getin_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosings_getin_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_cozmosings_getout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dancing_mambo_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_pickup_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_pickup_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_pickup_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_hard_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_medium_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_medium_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_medium_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_soft_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_soft_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_reaction_soft_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_shake_loop_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_dizzy_shake_stop_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_driving_upset_end_01,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_driving_upset_loop_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_driving_upset_loop_02,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_driving_upset_loop_03,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_driving_upset_start_01,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_endmambo,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedone_01,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedone_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedonelvl1_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedown_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedown_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedownlvl1_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedownlvl1_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedownlvl2_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubedownlvl2_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubenotfound_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubenotfound_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubeshake_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubeshake_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubeshake_lv2_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubeshake_lv2_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubeshakelvl1_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_cubeshakelvl1_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_drivegeout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_drivegetin_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_driveloop_01,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_energy_driveloop_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_driveloop_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_04,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_lvl1_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_lvl1_06,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_lvl1_07,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_lvl1_08,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_lvl1_09,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_eat_lvl2_05,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_failgetout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_failgetout_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_getin_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_getout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel1_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel1_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel1_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_01_nohead,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_02_nohead,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_03_nohead,drop,source-static,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_04,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_05,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_06,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_search_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_search_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_idlel2_search_03,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_liftoncube_01,keep,,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_energy_liftoncube_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_react_stop_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_reacttocliff_lv2_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_requestlvlone_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_requestlvltwo_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_requestshortlvl1_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_requestshortlvl2_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_shortreact_lvl2_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_stuckonblock_lv2,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_successgetout_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_successgetout_02,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_energy_wakeup_01,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_end_01_head_angle_-10,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_end_01_head_angle_-20,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_end_01_head_angle_10,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_end_01_head_angle_20,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_end_01_head_angle_30,drop,too-short,audit: visual contact-sheet review (claude),2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_end_01_head_angle_40,drop,untranslatable,audit: sibling of human-dropped base clip,2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_01_head_angle_-10,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_01_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_01_head_angle_10,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_01_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_01_head_angle_30,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_01_head_angle_40,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_02_head_angle_-10,drop,,,2026-08-04T16:55:15,v1.3,1.3
anim_explorer_driving01_loop_02_head_angle_-20,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_explorer_driving01_loop_02_head_angle_10,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_explorer_driving01_loop_02_head_angle_20,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_explorer_driving01_loop_02_head_angle_30,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_explorer_driving01_loop_02_head_angle_40,drop,source-static,auto: near-static (max joint range < 0.05 rad),2026-08-04T16:56:48,v1.3,1.3
anim_explorer_driving01_loop_03_head_angle_-10,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_03_head_angle_-20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_03_head_angle_10,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_03_head_angle_20,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
anim_explorer_driving01_loop_03_head_angle_30,keep,,"audit: rule T>=30,range>=0.15 (16/16 visual sample ok)",2026-08-04T18:30:20,v1.3,1.3
